Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"2.42 in screen","The screen to display",1,17.00,"https://www.amazon.com/HiLetgo-SSD1309-128x64-Display-Optional/dp/B0CFF3XNX4/ref=sr_1_13?crid=1U7F33WEA5POU&dib=eyJ2IjoiMSJ9.EXQ3Pm2EYEaEPTepIEf0N1zD1-el2VCoAGFQ6b8OygNopwZuJ1IWrv2jfOJIyM2ml9r2DX9jeNTkc9T-gspDUproZOomrAr9tolEDshvxU7IPyhgUj1M62sbASFwLbHf8y4C1fzufs1GoLufjucFiDcKB7j3NFVKtH0SsA9ceKvU7_I4CzmH1rMHdBQ1Z3yeBuH6SrFdLa8q0uE4kXCepVA_ZNSrCtGMykpixHtBpEI.WW_LxnzsgBE9lUnVPIax_NDhjztAI-B73jWt-iTVDR8&dib_tag=se&keywords=2.42%2Bin%2Boled%2Bscreen%2Biic%2Barduino&qid=1778643848&sprefix=2.42%2Bin%2Boled%2Bscreen%2Biic%2Barduno%2Caps%2C128&sr=8-13&th=1","Amazon"
"esp 32","controller for the project",1,20.00,"https://www.amazon.com/ESP-WROOM-32-Development-Microcontroller-Integrated-Compatible/dp/B08D5ZD528/ref=sr_1_3?crid=1UWED96YX9O2S&dib=eyJ2IjoiMSJ9.XBINg-sjhfF_gUtnMiKGjklrlTClPDX1p8AhsDNAaFQARQuJ-ltKsbpBaAGjGi2UXDVXth4uj000wYOx2j1RywXqAfMBl5fMylLUHjiAUTIIPwyVf43qKbJR_DvRzypo4cGLtNmaqd7LrjSc_UuZbAmhq0zicdCFYPzshahwhNnq0YFgvhLf0ZQoBnySqq7Uoa2XKq4tJVttK_RAbJH8EMJwHTpAefSeq-FBTeNmFaM.PfUNGZQi70DYUt1y4GLk3N78t66kH8YUqzGe7y3FZ_I&dib_tag=se&keywords=esp%2B32&qid=1778643801&sprefix=esp%2B3%2Caps%2C164&sr=8-3&th=1","Amazon"
